STATION NAME,LAT,LON,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,ACC,AVE
ITBAYAT,20.767,121.833,0.0,0.2,0.0,0.1,0.1,0.0,3.9,0.0,0.2,0.0,0.1,0.1,0.0,3.9,0.0,0.2,0.0,0.1,0.1,0.0,3.9,0.0,0.2,0.0,0.1,0.1,0.0,3.9,7.8,11.7,0.1,36.7,1.2
CALAYAN,19.263,121.470,10.4,6.6,14.2,57.8,6.2,6.3,91.4,10.4,6.6,14.2,57.8,6.2,6.3,91.4,10.4,6.6,14.2,57.8,6.2,6.3,91.4,10.4,6.6,14.2,57.8,6.2,0.0,3.9,7.8,11.7,6.2,697.3,23.2
BASCO,20.450,121.970,0.0,0.6,0.0,27.4,0.0,13.0,32.0,0.0,0.6,0.0,27.4,0.0,13.0,32.0,0.0,0.6,0.0,27.4,0.0,13.0,32.0,0.0,0.6,0.0,27.4,0.0,0.0,3.9,7.8,11.7,0.0,270.4,9.0
VIGAN,17.575,120.387,5.8,7.6,3.5,99.2,81.4,6.8,48.8,5.8,7.6,3.5,99.2,81.4,6.8,48.8,5.8,7.6,3.5,99.2,81.4,6.8,48.8,5.8,7.6,3.5,99.2,81.4,0.0,3.9,7.8,11.7,81.4,980.2,32.7
LAOAG,18.200,120.592,2.0,49.0,31.2,42.5,46.7,15.6,19.2,2.0,49.0,31.2,42.5,46.7,15.6,19.2,2.0,49.0,31.2,42.5,46.7,15.6,19.2,2.0,49.0,31.2,42.5,46.7,0.0,3.9,7.8,11.7,46.7,813.4,27.1
APARRI,18.358,121.637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9,7.8,11.7,0.0,23.4,0.8
TUGUEGARAO,17.613,121.728,0.0,0.0,4.0,1.1,0.0,0.0,2.8,0.0,0.0,4.0,1.1,0.0,0.0,2.8,0.0,0.0,4.0,1.1,0.0,0.0,2.8,0.0,0.0,4.0,1.1,0.0,0.0,3.9,7.8,11.7,0.0,52.2,1.7
IBA,15.330,119.975,0.0,14.6,34.8,0.0,0.0,13.0,54.4,0.0,14.6,34.8,0.0,0.0,13.0,54.4,0.0,14.6,34.8,0.0,0.0,13.0,54.4,0.0,14.6,34.8,0.0,0.0,0.0,3.9,7.8,11.7,0.0,423.2,14.1
DAGUPAN,16.043,120.333,1.3,0.0,2.7,19.4,7.7,0.2,18.0,1.3,0.0,2.7,19.4,7.7,0.2,18.0,1.3,0.0,2.7,19.4,7.7,0.2,18.0,1.3,0.0,2.7,19.4,7.7,0.0,3.9,7.8,11.7,7.7,202.4,6.7
CLARK,15.172,120.562,0.0,1.4,5.0,3.6,0.0,3.0,1.2,0.0,1.4,5.0,3.6,0.0,3.0,1.2,0.0,1.4,5.0,3.6,0.0,3.0,1.2,0.0,1.4,5.0,3.6,0.0,0.0,3.9,7.8,11.7,0.0,76.0,2.5
BAGUIO,16.410,120.600,0.0,0.2,0.0,0.1,0.1,0.0,3.9,0.0,0.2,0.0,0.1,0.1,0.0,3.9,0.0,0.2,0.0,0.1,0.1,0.0,3.9,0.0,0.2,0.0,0.1,0.1,0.0,3.9,7.8,11.7,0.1,36.7,1.2
CABANATUAN,15.488,120.962,10.4,6.6,14.2,57.8,6.2,6.3,91.4,10.4,6.6,14.2,57.8,6.2,6.3,91.4,10.4,6.6,14.2,57.8,6.2,6.3,91.4,10.4,6.6,14.2,57.8,6.2,0.0,3.9,7.8,11.7,6.2,697.3,23.2
